2016,S022530
2015,S022530
2014,S022530
2013,S022530
2013,S022530
2012,S022530
2012,S022530
2016,S011499
2015,S011499
2015,S011499
2014,S011499
2013,S011499
2012,S011499
2011,S011499
2010,S011499
2009,S011499
2016,S022348
2015,S022348
2014,S022348
2013,S022348
2012,S022348
2011,S022348
2016,S023720
2015,S023720
2014,S023720
2013,S023720
2016,S023717
2015,S023717
2014,S023717
2013,S023717
2016,S023719
2015,S023719
2014,S023719
2013,S023719
2015,S024962
2014,S024962
2013,S024962
2016,S023716
2015,S023716
2014,S023716
2013,S023716
2012,S017086
2011,S017086
2010,S017086
2016,S016938
2015,S013627
2014,S013627
2013,S013627
2012,S013627
2011,S013627
2010,S013627
2015,S012356
2014,S012356
2013,S012356
2012,S012356
2011,S012356
2010,S012356
2009,S012356
2015,S019610
2014,S019610
2013,S019610
2012,S019610
2011,S019610
2010,S019610
2015,S013593
2014,S013593
2013,S013593
2012,S013593
2011,S013593
2010,S013593
2015,S013602
2014,S013602
2013,S013602
2012,S013602
2011,S013602
2010,S013602
2009,S013602
2015,S013688
2014,S013688
2013,S013688
2012,S013688
2011,S013688
2010,S013688
2015,S013626
2014,S013626
2013,S013626
2012,S013626
2011,S013626
2010,S013626
2015,S013657
2014,S013657
2013,S013657
2012,S013657
2011,S013657
2010,S013657
2015,S013684
2014,S013684
2013,S013684
2012,S013684
2011,S013684
2010,S013684
2015,S013637
2014,S013637
2013,S013637
2012,S013637
2011,S013637
2010,S013637
2015,S013615
2014,S013615
2013,S013615
2012,S013615
2011,S013615
2010,S013615
2015,S019581
2014,S019581
2013,S019581
2012,S019581
2011,S019581
2010,S019581
2015,S019589
2014,S019589
2013,S019589
2012,S019589
2011,S019589
2010,S019589
2015,S013687
2014,S013687
2013,S013687
2013,S013687
2012,S013687
2011,S013687
2010,S013687
2015,S020449
2014,S020449
2013,S020449
2012,S020449
2011,S020449
2010,S020449
2015,S013601
2014,S013601
2013,S013601
2012,S013601
2011,S013601
2010,S013601
2015,S013679
2014,S013679
2013,S013679
2012,S013679
2011,S013679
2010,S013679
2015,S012336
2014,S012336
2013,S012336
2012,S012336
2011,S012336
2010,S012336
2009,S012336
2015,S012340
2014,S012340
2013,S012340
2012,S012340
2011,S012340
2010,S012340
2009,S012340
2012,S019206
2011,S019206
2010,S019206
2015,S019649
2014,S019649
2013,S019649
2012,S019649
2011,S019649
2010,S019649
2015,S013654
2014,S013654
2013,S013654
2012,S013654
2011,S013654
2010,S013654
2015,S019663
2014,S019663
2013,S019663
2012,S019663
2011,S019663
2010,S019663
2015,S013599
2014,S013599
2013,S013599
2012,S013599
2011,S013599
2010,S013599
2015,S013690
2014,S013690
2013,S013690
2012,S013690
2011,S013690
2010,S013690
2015,S013671
2014,S013671
2013,S013671
2012,S013671
2011,S013671
